x,y,frame
39720.5258358321,28812.4443643747,12
40077.0761288008,36547.9985635934,12
40494.1366756758,41136.0478799997,12
41475.5673397383,36271.2187784372,12
41543.3065975508,51588.6113565622,12
41954.2196834883,33778.3891885934,12
42201.0165584883,35470.2300089059,12
42478.2528866133,28203.3281534372,12
42592.7255428633,51489.2998331247,12
43224.9814022383,37554.6220987497,12
43849.9911678633,31562.1123331247,12
44065.2743709883,29528.2744424997,12
44569.0683163008,34338.5820596872,12
44479.4931209883,50193.8506143747,12
46507.3788631758,27277.5249307809,12
46955.2743709883,31733.8506143747,12
47686.7489803633,43964.5928018747,12
47817.5546444258,47241.8340128122,12
48211.8222225508,29148.0107706247,12
48572.2519100508,35634.1069620309,12
48654.8251522383,38073.8823526559,12
48846.2362850508,40223.4184854684,12
49462.3007381758,42955.1592081247,12
50089.8544491133,47075.4863565622,12
51595.2304256758,47672.6006143747,12
51706.3778866133,44661.4043253122,12
51670.9286678633,46061.9219034372,12
52919.3026913008,42971.0527628122,12
23288.6482409871,17906.1631206484,13
27980.0032214559,16841.706333539,13
29483.5676745809,44485.1816753359,13
31357.1711902059,37784.8789409609,13
31617.7815417684,32341.1142925234,13
32063.3796862996,39434.2881206484,13
32015.7698230184,53272.1982768984,13
32431.7146472371,31785.6943706484,13
32896.5193347371,54943.2431987734,13
35729.2415027059,26249.1269878359,13
35726.1457995809,55484.7031597109,13
35869.5247058309,27732.3496440859,13
35851.4631823934,45389.3711284609,13
35980.5281237996,44403.2871440859,13
36742.4543933309,42208.1406597109,13
37174.8201159871,54720.1670268984,13
38414.5271472371,43951.5976909609,13
38935.4768542684,34213.3994487734,13
39168.1916980184,40015.3232768984,13
39593.1916980184,28639.6201518984,13
40048.4382800496,36559.7153667422,13
40449.6833972371,41120.7724956484,13
41242.7449206746,42398.5849956484,13
41469.7224597371,51494.2002300234,13
41643.8777331746,36884.5859722109,13
41741.2214831746,53562.6865581484,13
41946.7146472371,33759.9912456484,13
42182.6716784871,35431.8247417422,13
42631.1433581746,51450.6748393984,13
42853.0232409871,47708.0527690859,13
43331.7927722371,33950.0254253359,13
43305.1716784871,35129.7959331484,13
43901.5876941121,31774.0928081484,13
44495.2400378621,50190.5674175234,13
44599.0974597371,34326.0239604922,13
45704.0242175496,43496.8174175234,13
46438.0281237996,27296.3657573672,13
46604.2830066121,48719.0683940859,13
46902.8425769246,31875.4404643984,13
47273.8289050496,49924.0195659609,13
48037.5789050496,29495.8823589297,13
48165.2400378621,30588.1089214297,13
48649.0486316121,38095.6260112734,13
48801.2849597371,40188.3848003359,13
49243.5652331746,43027.9746440859,13
49944.3269519246,37182.3569683047,13
50030.0642566121,47207.3740581484,13
50207.8279284871,44434.6396831484,13
51096.2751941121,49913.0869487734,13
51260.6013659871,34005.1572612734,13
51539.8982409871,47599.8594097109,13
51701.0798816121,44721.2754253359,13
51874.7371081746,35375.3550151797,13
52050.8552722371,38331.3608745547,13
23292.1261399244,17859.9724618774,14
26716.1056321119,37665.3362314086,14
28435.7613938307,40526.7400400024,14
29383.8619797682,44403.5247079711,14
30005.1437180494,47963.3049814086,14
