driftx,drifty
-30.3808755868115,-19.3120075903748
-30.5349405302527,-19.4093548794333
-30.6923248791217,-19.5087995639958
-30.8456929856578,-19.6057065505293
-31.0007957777964,-19.7037096134121
-31.1561818555933,-19.8018916728288
-31.3116972826908,-19.9001554627383
-31.467862510584,-19.9988298349936
-31.6242137449094,-20.0976217370486
-31.7774120327652,-20.1944214221558
-31.9348713645228,-20.2939134853157
-32.089845570934,-20.3918353001761
-32.2452288998673,-20.4900156226992
-32.4001766866458,-20.5879207440824
-32.555468692224,-20.6860433631407
-32.7105400251467,-20.7840265482413
-32.8666128606823,-20.8826425415732
-33.0218161390544,-20.9807090975661
-33.1760376150022,-21.0781552930652
-33.3314191113599,-21.1763344576592
-33.4871561274008,-21.2747382604909
-33.6430968647724,-21.3732707864364
-33.7977722086319,-21.471003762366
-33.9532401414762,-21.569237542614
-34.1083959255951,-21.6672740889455
-34.2637787963845,-21.7654541219863
-34.4198061229573,-21.8640413600799
-34.5749623652201,-21.9620781958936
-34.7299164132987,-22.0599872735344
-34.8856865684167,-22.1584120155833
-35.0405399775472,-22.2562575036198
-35.1967152846067,-22.354938244485
-35.3517374434151,-22.4528903584892
-35.5081393716053,-22.5669513003533
-35.6631876305363,-22.69503763772
-35.8158603147027,-22.8211614979015
-35.9712476590671,-22.9495279558675
-36.1257512525173,-23.0771643416706
-36.2807157284556,-23.2051814653825
-36.4359648536904,-23.3334337396602
-36.5899555614157,-23.4606464273551
-36.7450876033394,-23.5888019783766
-36.8992489181751,-23.7161556056734
-37.0538122697308,-23.8438413580216
-37.2098832589868,-23.9727725793124
-37.3627306557823,-24.0990407706907
-37.5176802302083,-24.2270455841699
-37.6727026395771,-24.3551105670514
-37.8280880072103,-24.4834753920273
-37.9824576391059,-24.6110011113516
-38.1368409560638,-24.7385381359914
-38.2912715625149,-24.8661142267777
-38.446045968143,-24.9939743322164
-38.600933047451,-25.1219275180874
-38.7554013638517,-25.2495347612991
-38.9119481371081,-25.3788590307312
-39.0647935571724,-25.5051255891194
-39.2193748513654,-25.6328261639926
-39.3753348395602,-25.7616656866119
-39.5303970876661,-25.8897635805235
-39.6856653719882,-26.0180316822431
-39.83901911609,-26.144718170301
-39.9946223803267,-26.2732630010253
-40.1492307405319,-26.4009859353006
-40.3027614781065,-26.5278186387744
-40.4579259080111,-26.6560009457096
-40.6125633109597,-26.7837478723771
-40.7685678516352,-26.9126242000796
-40.9217605681703,-27.0391776622565
-41.0775995195916,-27.1679171956394
-41.2307835689205,-27.2944634977831
-41.3873406820018,-27.4237963090093
-41.5406760272975,-27.5504675976983
-41.6969963888005,-27.6796048269635
-41.8510605396936,-27.8068781865191
-42.0042085516916,-27.9333947179982
-42.1598607780403,-28.0619799966296
-42.3145678227505,-28.1897844547923
-42.468903089934,-28.3172817852127
-42.6237872801733,-28.445232584406
-42.813127872409,-28.6016480329994
-42.9327333404619,-28.7004548589356
-43.0873841243603,-28.8282128396895
-43.2124581181171,-28.9418235591785
-43.3051440294578,-29.0390269758744
-43.3994559339438,-29.137935636517
-43.4915965828905,-29.2345672147649
-43.5846213495917,-29.3321260026098
-43.6788237805469,-29.4309198539887
-43.7715820029991,-29.528199106235
-43.8647606367616,-29.6259192606119
-43.9571925438814,-29.7228562929376
-44.050238912383,-29.8204377354533
-44.14313791267,-29.917864627037
-44.237341808154,-30.0166600143258
-44.3302945383429,-30.1141432546033
-44.4226521206241,-30.2110023395025
-44.5163911197343,-30.3093101713981
-44.6087079698071,-30.4061265388037
-44.7019119582251,-30.5038732836204
-44.7953063353925,-30.6018196967218
-44.8892925652776,-30.7003868094043
-44.9812546332387,-30.796831102641
-45.0755595812128,-30.8957324677116
-45.1683884671815,-30.9930858276098
-45.2614117693539,-31.0906430795448
-45.3549074736104,-31.1886957584112
-45.4467822190394,-31.2850484730211
-45.5407463894589,-31.383592451061
-45.6330636971969,-31.4804092984385
-45.7263203171202,-31.5782112400166
-45.820812907852,-31.6773093935409
-45.9131206046196,-31.7741161615097
-46.0069888483999,-31.8725595374523
-46.1003159487737,-31.9704353946935
-46.1921647903488,-32.0667609428974
-46.2854088702439,-32.1645497332472
-46.3781945526118,-32.2618577838038
-46.4723267777157,-32.3605780075027
-46.5644208363387,-32.4571607246175
-46.6575920559239,-32.5548731034506
-46.7510447396457,-32.6528806649642
-46.8442413138865,-32.7506196342371
-46.9374662633736,-32.848388361764
-47.0302825177811,-32.9457284744394
-47.124160280999,-33.0441818337963
-47.2163745225199,-33.1408905915158
-47.3101929723197,-33.2392817465225
-47.4028568241947,-33.3364620285758
-47.4961541763263,-33.4343066876475
-47.5893728100328,-33.532068791563
-47.6823143731892,-33.6295403205277
-47.7753397806218,-33.7270997803332
-47.8916956572261,-33.8082475637665
-48.0338639399827,-33.8734978411419
-48.1746431875603,-33.9381105998742
-48.3146841689529,-34.0023845202073
-48.454555823239,-34.0665807253112
-48.5966895494433,-34.1318151424358
-48.7504103641104,-34.2023676285523
-48.8765285105523,-34.260251453818
-49.0173392737056,-34.324878677099
-49.1595530328852,-34.3901498265646
-49.2980092507861,-34.4536963957937
-49.4393062937444,-34.5185468045247
-49.5802521039044,-34.583236009666
-49.7198305804001,-34.6472976564018
-49.8623809203998,-34.7127232847106
-50.0018531009404,-34.7767361453147
-50.1426084353837,-34.8413379287533
-50.2835297795046,-34.9060159048371
-50.4244418624695,-34.9706896303736
-50.5638475562033,-35.0346719758551
-50.7044189115618,-35.0991893193182
-50.8452047939974,-35.1638051232186
-50.9859716012161,-35.2284121722606
-51.1272043689869,-35.293233080925
-51.2678317059602,-35.3577761179945
-51.4077551950748,-35.4219961134747
-51.5500666801845,-35.4873121157297
-51.6905376833149,-35.5517834010243
-51.8295107290131,-35.6155671761652
-51.9702939851507,-35.6801817746865
-52.1110847055036,-35.7447997990221
-52.2515551557292,-35.8092708305527
-52.392052836518,-35.8737543599611
-52.5328890332938,-35.9383932563867
-52.6733286590746,-36.0028501405736
-52.8148136896778,-36.0677868290692
-52.9547498956037,-36.1320126611217
-53.0954442722886,-36.1965864670779
-53.2368701420741,-36.2614960028241
-53.3769194170394,-36.3257737296174
-53.5173984372899,-36.3902486944902
-53.6584669923239,-36.4549942352426
-53.7988090304008,-36.5194063300811
-53.9400194055257,-36.584216961303
-54.0804394031848,-36.6486648368674
-54.220307878268,-36.7128595828282
-54.3627968458307,-36.7782570433315
-54.5017669887785,-36.8420394862113
-54.6427068552115,-36.9067259633895
-54.7845762929032,-36.9718390813156
-54.8805526335773,-37.0483368158509
-54.9342799100441,-37.1388183400056
-54.9877350797165,-37.2288416120559
-55.0410252518131,-37.3185870134769
-55.094698474633,-37.4089775064704
-55.1485678454781,-37.4996983302279
-55.201521666261,-37.5888772860457
-55.2552637562638,-37.6793837575158
-55.3085223051384,-37.7690759026111
-55.3620634668614,-37.8592439929423
-55.4154756142432,-37.9491948116194
-55.468591175725,-38.0386461531957
-55.5219579369542,-38.1285205375449
-55.5753272196363,-38.2183991682457
-55.6292591015018,-38.3092252661353
-55.6839626530222,-38.4013509245296
-55.7358565180327,-38.4887448203159
-55.7896351691029,-38.5793128638834
-55.8431088819602,-38.6693673643107
-55.8962000693971,-38.7587776578222
-55.94965145689,-38.8487945603452
-56.0030655478918,-38.9387486522515
-56.0565846469017,-39.0288795870067
-56.1101444568703,-39.1190790826462
-56.1634770734245,-39.2088959643182
-58.593438703341,-43.3011680162607
-58.6471672405343,-43.3916516635912
-58.7008143558104,-43.481998189153
-58.7543006759323,-43.5720739213381
-58.8079069226589,-43.6623516206186
-58.8607254779985,-43.751302777369
-58.9141281699319,-43.8412376722278
-58.9677950891194,-43.9316175493424
-59.0212696949914,-44.0216735536859
-59.0751697435137,-44.1124460413872
-59.1284860231542,-44.2022354102399
-59.1819737090631,-44.292313442532
-59.2352906715971,-44.3821039614382
-59.2886651022456,-44.4719912617733
-59.3420452586935,-44.5618882048651
-59.3952506994659,-44.651490911181
-59.4490183717098,-44.7420404654262
-59.5028098401657,-44.8326300946141
-59.5555426661059,-44.9214368754119
-59.6096872430315,-45.0126211707476
-59.6625432524531,-45.1016354035117
-59.7159542966992,-45.1915843644099
-59.7695827637297,-45.2818994846634
-59.8232267271896,-45.3722407022858
-59.8763060427856,-45.4616310025587
-59.9610326062172,-45.5750703005217
-60.0737049077303,-45.7078173309408
-60.1884145092363,-45.8429646453736
-60.3027552998027,-45.9776774381329
-60.4151827717237,-46.110136017878
-60.5292064475442,-46.2444751958246
-60.6434713722681,-46.3790986057882
-60.7568268020536,-46.5126504768677
-60.8710354428265,-46.6472075748162
-60.9855120757717,-46.7820804128764
-61.0982224221027,-46.9148722665263
-61.2128714875898,-47.0499482592888
-61.3262528773687,-47.1835307156317
-61.43982437934,-47.317337156296
-61.5535001688707,-47.4512664653461
-61.6673453697371,-47.5853953696067
-61.781254015932,-47.7195990231964
-61.8952187222849,-47.8538687251352
-62.0093577634205,-47.9883438229378
-62.1233755087253,-48.1226760137337
-62.2367429114388,-48.2562419909476
-62.3503370165078,-48.3900750618843
-62.4656253468303,-48.5259042167587
-62.5780352509972,-48.6583420987177
-62.6917387908656,-48.7923041023597
-62.8069670327553,-48.9280624628959
-62.9206217857397,-49.061966987336
-63.0341998896059,-49.1957812061492
-63.1490172474634,-49.3310554757918
-63.2620815224964,-49.464264317322
-63.3758087844276,-49.5982542695668
-63.4896301513347,-49.7323550933916
-63.6030185905945,-49.8659458552155
-63.717093626919,-50.0003455445238
-63.831266348908,-50.1348603240691
-63.9448029391642,-50.2686256328273
-64.0581113724101,-50.4021221340334
-64.1718328157222,-50.5361052309605
-64.2870157395201,-50.6718101991188
-64.4004145851566,-50.8054132214146
-64.5146915947049,-50.9400508693457
-64.6282890566696,-51.0738878952734
-64.7414490032297,-51.207209454046
-64.855547761617,-51.3416370919571
-64.9693577150787,-51.4757244688126
-65.0836218565269,-51.610346955945
-65.1964633455827,-51.7432933179084
-65.3109253200835,-51.8781488858414
-65.4241689652427,-52.0115690557219
-65.5381686952072,-52.1458800213997
-65.6337353366478,-52.240309213423
-65.7077448419394,-52.2922070147406
-65.7829021652533,-52.3449097022877
-65.8580155741018,-52.3975815956255
-65.9326574919037,-52.4499228645582
-66.0076121160663,-52.502483413062
-66.0836789698506,-52.5558238920855
-66.1578384916715,-52.6078268897288
-66.2328631137234,-52.6604365229622
-66.308042910044,-52.713154969291
